date,No. of days,txVolume,txCount,marketcap,exchangeVolume,generatedCoins,fees,Bitcoin Google Trends,Price,GDPC1
9/10/2013,136,63653951.43,55922,1485960000,0,4900,29.57194144,3,126,174
9/11/2013,137,74025166.47,54066,1470450000,0,4800,27.20827314,3,135,174
9/12/2013,138,77663652.23,49343,1583960000,0,5125,23.02719024,3,133,174
9/13/2013,139,80696044.62,51395,1552880000,0,5075,29.12791881,3,135,174
9/14/2013,140,82136075.68,45362,1579050000,0,5125,21.41425676,3,129,174
9/15/2013,141,68159509.48,46737,1514140000,0,5575,21.86850927,2,130,174
9/16/2013,142,47709310.63,48661,1531820000,0,4450,25.09068677,2,132,174
9/17/2013,143,72604158.45,49431,1540880000,0,4050,30.18928293,2,132,174
9/18/2013,144,81192409.08,67604,1542870000,0,4400,95.5580382,2,131,174
9/19/2013,145,86050640.64,63322,1539430000,0,4000,309.869558,2,130,174
9/20/2013,146,92234444.37,58698,1520470000,0,4725,99.36871364,2,127,174
9/21/2013,147,92836776.98,59238,1488870000,0,5000,36.0643538,2,127,174
9/22/2013,148,60924416.61,53331,1500260000,0,4725,26.89067229,3,129,174
9/23/2013,149,51684695.24,51409,1513940000,0,5050,26.74028812,3,126,174
9/24/2013,150,99848750.26,61049,1480210000,0,5500,36.59674869,3,127,174
9/25/2013,151,128474902.9,64682,1496510000,0,5050,32.47423176,3,128,174
9/26/2013,152,92771713.96,56132,1506920000,0,5275,29.89207668,3,128,174
9/27/2013,153,80999188.61,52345,1516020000,0,4175,27.27674821,3,134,174
9/28/2013,154,91177924.69,50622,1573400000,0,4450,83.26532184,3,135,174
9/29/2013,155,74407556.37,44892,1587290000,0,4400,27.8548681,5,137,174
9/30/2013,156,67284487.7,41536,1614350000,0,4325,19.56024562,5,133,174
10/1/2013,157,91452761.09,43296,1562270000,0,3875,26.87542642,5,132,175
10/2/2013,158,112366675,53695,1555470000,0,4800,35.42343641,5,114,175
10/3/2013,159,134973606.5,63779,1348700000,0,4650,45.5006027,5,124,175
10/4/2013,160,115446693.1,59453,1454900000,0,5025,31.1382287,5,129,175
10/5/2013,161,94730461.87,53844,1517020000,0,4450,32.64055375,5,129,175
10/6/2013,162,62375106.99,47090,1514540000,0,5275,26.74333909,3,129,175
10/7/2013,163,47610920.08,43632,1527760000,0,4975,21.38243077,3,127,175
10/8/2013,164,73130043.47,42892,1496500000,0,3750,33.20804707,3,126,175
10/9/2013,165,86202244.17,44543,1486510000,0,4000,16.77562844,3,131,175
10/10/2013,166,100735278.3,48428,1544020000,0,4550,26.54051455,3,131,175
10/11/2013,167,90676758.93,57252,1545600000,0,4900,28.58793526,3,131,175
10/12/2013,168,96227485.63,52270,1547970000,0,4425,27.71234198,3,135,175
10/13/2013,169,86888445.86,49270,1599430000,0,4900,32.20259509,3,138,175
10/14/2013,170,80448988.1,52011,1648470000,0,5950,31.62979861,3,141,175
10/15/2013,171,123913019.1,55826,1667100000,0,6175,25.13719125,3,145,175
10/16/2013,172,103427994.4,55534,1725840000,0,6450,46.01328054,3,143,175
10/17/2013,173,147296393.4,53616,1688200000,0,5400,37.72362124,3,146,175
10/18/2013,174,123669567.8,44086,1735750000,0,4350,38.86465884,3,156,175
10/19/2013,175,138802471.3,60291,1849630000,0,4550,45.64097245,3,172,175
10/20/2013,176,172814741.6,54878,2037440000,0,5425,36.07952437,4,175,175
10/21/2013,177,117151330.9,48096,2075580000,0,5350,27.16583212,4,182,175
10/22/2013,178,186617698.4,59490,2169750000,0,5000,38.18320492,4,194,175
10/23/2013,179,229800329.4,64935,2298160000,0,6300,41.2506362,4,214,175
10/24/2013,180,194460591.3,54171,2548230000,0,5250,36.46873666,4,198,175
10/25/2013,181,189592865.4,63551,2351780000,0,5200,49.27202604,4,187,175
